Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Year_Since,Model,Brand,Location;Bangalore,Location;Chennai,Location;Coimbatore,Location;Delhi,Location;Hyderabad,Location;Jaipur,Location;Kochi,Location;Kolkata,Location;Mumbai,Location;Pune,Fuel_Type;Diesel,Fuel_Type;Electric,Fuel_Type;LPG,Fuel_Type;Petrol,Transmission;Manual,Owner_Type;Fourth & Above,Owner_Type;Second,Owner_Type;Third
58950,25.8,1498,98.6,5.0,5.4,7.0,17,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
25000,28.4,1248,74.0,5.0,5.99,6.0,169,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
77469,20.45,1461,83.8,5.0,6.34,9.0,57,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
78500,14.84,2143,167.62,5.0,28.0,9.0,118,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32982,22.69,1995,190.0,5.0,18.55,9.0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
55392,23.65,1248,88.5,5.0,8.25,8.0,147,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
55985,13.53,1984,177.01,5.0,23.5,8.0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45807,18.5,1197,80.0,5.0,1.87,13.0,210,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
33000,14.4,1598,103.6,5.0,2.85,13.0,181,29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
51920,16.8,1497,116.3,5.0,4.25,11.0,44,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
54000,23.08,1461,63.1,5.0,4.25,11.0,113,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
54000,20.92,998,67.1,5.0,2.75,10.0,16,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
37430,17.5,1199,88.7,5.0,9.9,5.0,188,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
262000,12.8,2494,102.0,7.0,4.0,16.0,98,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
62000,19.01,1461,108.45,5.0,7.75,10.0,57,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
87615,14.53,1798,138.1,5.0,6.75,11.0,51,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
72000,11.18,2696,184.0,7.0,12.5,10.0,165,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35000,12.4,2698,179.5,5.0,11.5,13.0,11,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
55431,16.09,1598,103.5,5.0,6.98,9.0,181,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
83816,14.0,1061,64.0,5.0,1.85,14.0,189,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
50075,24.3,1248,88.5,5.0,8.63,5.0,186,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
52000,18.15,1198,82.0,5.0,4.85,6.0,102,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
85000,11.74,2987,254.8,5.0,28.0,10.0,110,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
62000,22.07,1199,73.9,5.0,5.0,10.0,131,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
90000,19.7,796,46.3,5.0,1.25,15.0,16,18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
19698,25.4,624,37.5,4.0,1.53,9.0,117,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
22033,25.32,1198,77.0,6.0,5.58,6.0,102,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35487,18.5,1197,82.9,5.0,4.74,9.0,210,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
46374,14.62,1999,149.92,5.0,8.85,9.0,65,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52001,14.28,1798,138.03,5.0,10.11,7.0,51,28,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
58005,14.9,1991,112.2,5.0,4.25,15.0,65,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
70704,11.25,2694,163.7,7.0,10.95,11.0,98,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75000,24.4,1120,71.0,5.0,3.85,9.0,202,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
75800,16.55,2498,105.0,6.0,5.5,11.0,175,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
13648,17.11,1968,174.33,5.0,21.43,8.0,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
52000,22.9,1248,74.0,5.0,4.25,9.0,169,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53000,17.8,1248,75.0,5.0,3.3,9.0,169,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
65650,28.4,1248,74.0,5.0,3.85,10.0,169,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
54000,18.9,1197,82.0,5.0,3.6,8.0,91,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39000,15.04,1598,103.2,5.0,3.99,8.0,181,29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
16542,25.17,799,53.3,5.0,3.3,6.0,103,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32000,20.36,1197,78.9,5.0,2.07,13.0,209,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
121812,13.29,1995,147.6,5.0,7.75,13.0,190,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
39300,18.2,998,67.1,5.0,2.25,13.0,207,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
22000,13.68,2393,147.8,8.0,16.5,6.0,98,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
72000,20.0,1399,68.0,5.0,2.75,13.0,77,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
58000,11.74,1796,186.0,5.0,26.7,8.0,118,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65000,15.8,2148,170.0,5.0,10.0,12.0,118,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
178000,25.0,1396,69.0,5.0,2.5,7.0,96,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
65664,16.55,1968,140.0,5.0,13.5,11.0,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63000,16.4,1497,78.0,5.0,1.85,16.0,44,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
15369,0.0,1950,194.0,5.0,35.67,4.0,32,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63000,24.52,1248,88.5,7.0,8.15,7.0,69,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
13000,22.1,1396,88.7,5.0,10.5,5.0,53,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
73000,8.5,4806,500.0,5.0,14.5,15.0,39,23,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55729,15.1,2179,140.0,7.0,9.65,8.0,201,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
45178,16.95,1197,78.9,5.0,3.48,11.0,209,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56066,19.64,1461,108.5,5.0,6.92,8.0,174,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
37300,16.5,1198,86.8,5.0,6.46,7.0,31,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56000,18.53,1968,187.74,5.0,29.5,9.0,11,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
111111,17.8,1399,113.01402571041947,5.0,2.0,15.0,76,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
230000,12.4,1998,132.0,8.0,4.5,17.0,98,28,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
104000,12.8,2494,102.0,7.0,11.75,11.0,98,28,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
87591,0.0,1086,113.01402571041947,5.0,1.3,18.0,159,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
95100,22.9,1248,74.0,5.0,3.75,11.0,169,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
70000,17.57,1193,88.7,5.0,4.5,6.0,208,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
54944,18.0,1198,86.7,5.0,4.82,7.0,17,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
70337,20.0,1399,68.0,5.0,2.8,11.0,77,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
99638,23.2,1248,73.94,5.0,3.11,10.0,145,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
52000,17.8,1497,117.3,5.0,3.25,14.0,44,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
75000,16.73,1995,218.0,5.0,13.9,12.0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
95980,20.36,1197,78.9,5.0,2.25,14.0,209,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
16000,18.9,1197,82.0,5.0,5.75,7.0,91,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
73745,17.0,1086,113.01402571041947,5.0,2.1,16.0,159,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
18949,17.8,1198,86.7,5.0,5.0,7.0,17,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
107000,13.0,2982,168.5,7.0,16.5,9.0,79,28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48367,17.68,1968,174.33,5.0,39.58,5.0,11,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57000,22.7,1498,89.84,5.0,5.5,10.0,63,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
58000,15.1,2179,140.0,7.0,8.1,9.0,201,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
30000,25.8,1498,98.6,5.0,3.5,8.0,17,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
34212,22.07,1199,73.9,5.0,2.79,10.0,131,29,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
70002,16.2,1493,110.0,5.0,3.45,13.0,184,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
62000,18.9,998,67.1,5.0,4.45,7.0,189,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
62001,15.26,1598,103.5,5.0,2.65,13.0,131,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
78958,23.0,1396,90.0,5.0,3.8,12.0,210,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
30180,18.5,1197,82.85,5.0,4.65,9.0,210,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
32851,19.83,1198,67.0,7.0,3.95,6.0,88,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
30000,14.94,2967,241.4,5.0,9.8,13.0,10,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
66000,17.0,1197,80.0,5.0,2.7,14.0,210,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
93850,14.0,796,35.0,5.0,2.41,13.0,122,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
53000,17.71,1197,78.9,5.0,3.9,9.0,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
78000,14.74,2993,270.9,5.0,24.0,12.0,198,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
65000,16.0,2179,140.0,7.0,5.75,11.0,201,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
40000,22.32,1582,126.32,5.0,5.25,9.0,184,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30000,11.36,2755,171.5,7.0,19.25,6.0,98,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
38053,15.1,1196,73.0,5.0,3.91,6.0,64,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
25500,25.4,624,37.5,4.0,2.15,9.0,117,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
56087,22.69,1995,190.0,5.0,20.75,8.0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
71088,13.5,1799,130.0,5.0,3.35,13.0,45,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
55000,12.99,2494,100.6,7.0,11.11,9.0,98,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
32700,23.3,1984,150.0,5.0,20.0,9.0,180,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39882,19.15,1198,75.94,5.0,6.55,7.0,113,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128000,10.8,2497,215.0,5.0,7.0,14.0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55000,24.3,1248,88.5,5.0,7.5,7.0,186,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
102000,17.0,1086,113.01402571041947,5.0,0.85,18.0,159,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
53753,15.0,2143,107.3,5.0,16.75,9.0,22,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
10250,22.0,1582,126.2,5.0,10.95,5.0,184,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
43874,18.9,998,67.1,5.0,2.45,12.0,189,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32684,21.9,624,37.48,4.0,3.23,6.0,117,27,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42000,12.05,2179,120.0,8.0,7.75,9.0,161,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
28352,11.7,1796,178.0,5.0,9.35,14.0,118,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89900,26.6,998,58.16,5.0,3.25,10.0,189,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
47700,10.8,2354,152.0,5.0,5.25,16.0,35,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
55000,21.21,1498,103.2,5.0,7.25,8.0,181,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44285,20.73,1373,91.1,5.0,7.47,6.0,43,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
54000,16.0,2179,140.0,7.0,13.25,7.0,201,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
30232,21.1,1197,85.8,5.0,5.81,7.0,145,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
88500,24.07,998,67.1,5.0,2.6,9.0,16,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
13372,19.0,2996,362.07,2.0,54.0,6.0,153,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12645,17.0,1591,121.3,5.0,11.5,4.0,184,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
94385,19.7,796,46.3,5.0,1.6,13.0,16,18,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
31821,20.58,1995,143.0,5.0,17.22,8.0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12000,19.0,1199,88.7,5.0,6.0,8.0,99,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
88578,13.5,1799,130.0,5.0,3.95,11.0,45,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44965,19.27,2143,170.0,5.0,17.95,9.0,118,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
45044,25.8,1498,98.6,5.0,3.7,9.0,17,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
34204,22.0,1197,81.8,5.0,5.43,7.0,169,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
80759,17.0,1086,113.01402571041947,5.0,1.67,15.0,159,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
91235,11.5,2982,171.0,7.0,13.49,11.0,79,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
38800,18.6,1199,76.8,5.0,2.85,9.0,26,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
83000,21.14,1498,103.52,5.0,4.75,10.0,142,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
41283,20.73,1373,91.1,5.0,9.9,5.0,43,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
23000,11.05,2894,444.0,4.0,37.0,10.0,141,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
48000,21.76,1995,190.0,5.0,26.5,9.0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
48214,17.11,1968,174.33,5.0,23.32,8.0,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35000,22.9,1248,74.0,5.0,6.25,7.0,169,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
35277,7.81,5461,362.9,5.0,30.0,13.0,147,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
54620,21.66,1498,103.52,5.0,9.86,7.0,142,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136997,17.2,1968,138.1,5.0,8.5,11.0,168,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14322,21.1,814,55.2,5.0,4.23,4.0,61,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
65634,22.07,1199,73.9,5.0,3.5,11.0,131,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6000,20.63,1198,67.06,5.0,2.5,7.0,88,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
33280,19.4,1198,86.8,5.0,2.39,10.0,31,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
29000,14.8,1595,120.7,5.0,11.25,10.0,22,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42831,26.0,1498,98.6,5.0,7.11,8.0,44,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
90000,12.99,2494,100.6,7.0,10.9,7.0,98,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24005,20.4,1197,81.8,5.0,6.2,6.0,169,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32792,15.1,2179,140.0,7.0,7.9,11.0,201,17,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
147898,22.7,1498,89.84,5.0,4.42,9.0,63,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
131765,13.0,2982,168.5,7.0,13.5,11.0,79,28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
65000,21.5,1498,108.5,5.0,6.25,10.0,181,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66123,20.0,1399,68.0,5.0,2.1,13.0,77,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
41000,15.3,2993,258.0,5.0,45.0,8.0,193,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23550,19.27,2143,167.62,5.0,33.66,6.0,118,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45000,19.4,1198,86.8,5.0,3.65,11.0,31,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
60000,20.36,1197,78.9,5.0,2.75,10.0,209,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44414,17.9,2143,170.0,5.0,42.5,7.0,85,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1000,18.9,1197,81.86,5.0,6.5,4.0,91,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
62500,17.68,1968,174.33,5.0,19.0,11.0,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
21000,14.4,1598,103.6,5.0,4.45,10.0,181,29,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
8525,16.6,1998,112.0,5.0,23.0,6.0,52,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29000,22.54,1396,88.73,5.0,8.35,9.0,210,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40000,17.68,1968,174.33,5.0,22.95,9.0,11,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
88000,25.44,936,57.6,5.0,1.5,11.0,26,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
53537,13.7,1798,157.75,5.0,6.89,11.0,168,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
216000,17.8,1399,68.0,5.0,1.45,17.0,76,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
51000,22.48,1995,190.0,5.0,33.5,9.0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
118500,12.9,1598,102.5,5.0,1.25,16.0,124,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
63000,22.07,1199,73.9,5.0,4.2,11.0,131,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
25000,19.98,1461,108.5,8.0,6.75,8.0,108,24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
37382,13.0,2143,201.1,5.0,32.0,9.0,60,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24773,21.4,1197,83.1,5.0,7.5,6.0,25,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
62000,22.32,1582,126.32,5.0,4.6,11.0,184,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
52340,19.81,1086,68.05,5.0,4.04,6.0,209,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
56739,15.4,1997,120.0,7.0,10.31,7.0,161,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
36091,12.7,2179,187.7,5.0,55.76,5.0,146,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120000,20.0,1399,68.0,5.0,2.6,13.0,77,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
33000,25.47,1248,88.5,7.0,8.5,7.0,69,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
60006,0.0,1197,74.0,5.0,2.95,16.0,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
52000,25.8,1498,98.6,5.0,3.5,9.0,17,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
43571,20.36,1197,78.9,5.0,3.55,8.0,209,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
50000,25.8,1498,98.6,5.0,3.25,10.0,17,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
113000,17.5,1896,106.0,5.0,4.5,15.0,106,25,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
90000,19.87,1461,83.8,5.0,5.35,9.0,57,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
29000,17.45,1493,100.0,7.0,6.5,6.0,120,17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
20000,24.3,1248,88.5,5.0,9.0,7.0,186,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
61012,18.6,1197,81.83,5.0,6.0,7.0,210,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
87459,14.7,1390,85.0,5.0,2.75,14.0,75,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
70500,15.64,1193,64.1,5.0,1.5,13.0,97,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
